year,month,terminal,vessel_calls,avg_turnaround,avg_dwell,total_teu,delay_rate,month_name
2019,1,APM Terminals,142,90.69647887323943,2.111267605633803,1363854,0.1619718309859155,Jan
2019,1,China Shipping,156,92.04423076923077,2.173717948717949,1630841,0.1282051282051282,Jan
2019,1,Everport,140,88.04714285714286,2.093571428571429,1318902,0.16428571428571428,Jan
2019,1,TraPac,133,91.0593984962406,2.082706766917293,1245415,0.18045112781954886,Jan
2019,1,Yang Ming,135,91.16148148148147,2.082222222222222,1291331,0.14814814814814814,Jan
2019,2,APM Terminals,130,90.3746153846154,2.0184615384615383,1243202,0.17692307692307693,Feb
2019,2,China Shipping,138,92.18695652173912,2.1557971014492754,1355385,0.15217391304347827,Feb
2019,2,Everport,151,90.29735099337748,2.1364238410596026,1493470,0.18543046357615894,Feb
2019,2,TraPac,144,91.41319444444444,2.178472222222222,1412514,0.1111111111111111,Feb
2019,2,Yang Ming,140,87.99714285714286,2.0721428571428575,1384225,0.2,Feb
2019,3,APM Terminals,168,89.83928571428571,2.169047619047619,1736682,0.13690476190476192,Mar
2019,3,China Shipping,176,88.98295454545455,2.147727272727273,1746477,0.17045454545454544,Mar
2019,3,Everport,158,89.64620253164557,2.234810126582279,1709172,0.26582278481012656,Mar
2019,3,TraPac,177,91.06045197740113,2.1988700564971753,1823241,0.10734463276836158,Mar
2019,3,Yang Ming,161,89.81428571428572,2.0434782608695654,1520093,0.08074534161490683,Mar
2019,4,APM Terminals,154,90.16688311688313,2.1123376623376626,1541051,0.09740259740259741,Apr
2019,4,China Shipping,164,90.73658536585366,2.154268292682927,1561626,0.20121951219512196,Apr
2019,4,Everport,173,92.12196531791908,2.0953757225433525,1571206,0.15606936416184972,Apr
2019,4,TraPac,144,89.34652777777778,2.1479166666666667,1452651,0.13194444444444445,Apr
2019,4,Yang Ming,163,92.5680981595092,2.1208588957055214,1549988,0.1901840490797546,Apr
2019,5,APM Terminals,182,88.55274725274725,2.1648351648351647,1761467,0.18681318681318682,May
2019,5,China Shipping,152,91.3328947368421,2.2144736842105264,1614486,0.13815789473684212,May
2019,5,Everport,164,89.63475609756098,2.1164634146341466,1583013,0.12804878048780488,May
2019,5,TraPac,192,89.1875,2.191666666666667,1966926,0.125,May
2019,5,Yang Ming,204,90.54215686274509,2.1191176470588236,2051737,0.15196078431372548,May
2019,6,APM Terminals,190,89.80736842105264,2.1094736842105264,1832028,0.14736842105263157,Jun
2019,6,China Shipping,177,90.22994350282487,2.0717514124293785,1668221,0.1016949152542373,Jun
2019,6,Everport,183,88.83551912568306,2.10327868852459,1766581,0.15300546448087432,Jun
2019,6,TraPac,216,90.74537037037037,2.1430555555555553,2145678,0.1388888888888889,Jun
2019,6,Yang Ming,173,88.34624277456648,2.1,1679294,0.12716763005780346,Jun
2019,7,APM Terminals,200,88.881,2.121,1932194,0.12,Jul
2019,7,China Shipping,188,88.69202127659574,2.0686170212765957,1831551,0.13829787234042554,Jul
2019,7,Everport,197,92.40253807106599,2.095431472081218,1863658,0.15228426395939088,Jul
